Filepath,Label,Prediction
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0007.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0009.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0010.png,bush 3m friction with cross axle,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0023.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0024.png,bush 3m friction with cross axle,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0028.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0034.png,bush 3m friction with cross axle,technic lever 3m
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0035.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0037.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0054.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0056.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0061.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0085.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0088.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0101.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0103.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0105.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0110.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0118.png,bush 3m friction with cross axle,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0127.png,bush 3m friction with cross axle,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0136.png,bush 3m friction with cross axle,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0146.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0158.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0160.png,bush 3m friction with cross axle,plate 2x2
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0161.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0171.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0179.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0181.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0185.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0187.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0188.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0197.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0201.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0205.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0207.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0209.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0218.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0222.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0232.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0235.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0236.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0259.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0270.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0274.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0281.png,bush 3m friction with cross axle,peg 2m
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0282.png,bush 3m friction with cross axle,half bush
